,artist,upload_time,num_countries
367,Sayian Jimmy,2023-11-06 10:43:30.354751,7
368,Soolking,2023-11-04 16:43:27.452336,7
369,Spooky Night,2023-11-04 16:43:27.452336,7
370,TOMORROW X TOGETHER,2023-11-04 16:43:27.452336,7
371,TOMORROW X TOGETHER,2023-11-05 14:18:19.598429,7
372,TOMORROW X TOGETHER,2023-11-06 10:43:30.354751,7
373,The Neighbourhood,2023-11-04 16:43:27.452336,7
374,The Neighbourhood,2023-11-05 14:18:19.598429,7
375,Zach Bryan,2023-11-05 14:18:19.598429,7
376,Zach Bryan,2023-11-06 10:43:30.354751,7
377,juan karlos,2023-11-04 16:43:27.452336,7
378,310babii,2023-11-04 16:43:27.452336,6
379,Amaru,2023-11-05 14:18:19.598429,6
380,Amaru,2023-11-06 10:43:30.354751,6
381,Anar,2023-11-05 14:18:19.598429,6
382,Anar,2023-11-06 10:43:30.354751,6
383,Big One,2023-11-04 16:43:27.452336,6
384,Big One,2023-11-05 14:18:19.598429,6
385,Big One,2023-11-06 10:43:30.354751,6
386,DJ Paulinho Mondi Da Baixa Baviera,2023-11-04 16:43:27.452336,6
387,DJ Paulinho Mondi Da Baixa Baviera,2023-11-05 14:18:19.598429,6
388,DJ Paulinho Mondi Da Baixa Baviera,2023-11-06 10:43:30.354751,6
389,Doble ONE Flow Letal,2023-11-04 16:43:27.452336,6
390,Doble ONE Flow Letal,2023-11-05 14:18:19.598429,6
391,Doble ONE Flow Letal,2023-11-06 10:43:30.354751,6
392,DobleP,2023-11-05 14:18:19.598429,6
393,DobleP,2023-11-06 10:43:30.354751,6
394,Dylan Gossett,2023-11-04 16:43:27.452336,6
395,Dylan Gossett,2023-11-05 14:18:19.598429,6
396,Dylan Gossett,2023-11-06 10:43:30.354751,6
397,Frank Ocean,2023-11-06 10:43:30.354751,6
398,IVE,2023-11-05 14:18:19.598429,6
399,IVE,2023-11-06 10:43:30.354751,6
400,Jere Klein,2023-11-04 16:43:27.452336,6
401,Jere Klein,2023-11-05 14:18:19.598429,6
402,Jere Klein,2023-11-06 10:43:30.354751,6
403,Kerchak,2023-11-04 16:43:27.452336,6
404,Kerchak,2023-11-05 14:18:19.598429,6
405,Kerchak,2023-11-06 10:43:30.354751,6
406,Loreen,2023-11-04 16:43:27.452336,6
407,Loreen,2023-11-05 14:18:19.598429,6
408,Manu,2023-11-04 16:43:27.452336,6
409,Mc Danone,2023-11-04 16:43:27.452336,6
410,Moya Mishel,2023-11-04 16:43:27.452336,6
411,Moya Mishel,2023-11-05 14:18:19.598429,6
412,Moya Mishel,2023-11-06 10:43:30.354751,6
413,NewJeans,2023-11-04 16:43:27.452336,6
414,NewJeans,2023-11-05 14:18:19.598429,6
415,NewJeans,2023-11-06 10:43:30.354751,6
416,OneRepublic,2023-11-05 14:18:19.598429,6
417,Piso 21,2023-11-04 16:43:27.452336,6
418,Ski Aggu,2023-11-04 16:43:27.452336,6
419,Spooky Night,2023-11-05 14:18:19.598429,6
420,Spooky Night,2023-11-06 10:43:30.354751,6
421,SwaggGlock,2023-11-05 14:18:19.598429,6
422,SwaggGlock,2023-11-06 10:43:30.354751,6
423,The Kid LAROI,2023-11-05 14:18:19.598429,6
424,The Kid LAROI,2023-11-06 10:43:30.354751,6
425,Tiësto,2023-11-05 14:18:19.598429,6
426,Vance Joy,2023-11-06 10:43:30.354751,6
427,Vibe Chemistry,2023-11-04 16:43:27.452336,6
428,Victor Thompson,2023-11-05 14:18:19.598429,6
429,Victor Thompson,2023-11-06 10:43:30.354751,6
430,Wham!,2023-11-04 16:43:27.452336,6
431,Zach Bryan,2023-11-04 16:43:27.452336,6
432,juan karlos,2023-11-05 14:18:19.598429,6
433,juan karlos,2023-11-06 10:43:30.354751,6
434,赵露思,2023-11-04 16:43:27.452336,6
435,赵露思,2023-11-05 14:18:19.598429,6
436,赵露思,2023-11-06 10:43:30.354751,6
437,ANGUISH,2023-11-04 16:43:27.452336,5
438,Ado,2023-11-05 14:18:19.598429,5
439,Ado,2023-11-06 10:43:30.354751,5
440,Amaru,2023-11-04 16:43:27.452336,5
441,Anirudh Ravichander,2023-11-04 16:43:27.452336,5
442,Anirudh Ravichander,2023-11-05 14:18:19.598429,5
443,Anirudh Ravichander,2023-11-06 10:43:30.354751,5
444,Bibi Babydoll,2023-11-05 14:18:19.598429,5
